keyword,category,priority,position,position_label,url,in_featured,total_results,error,checked_at
picture frames,core - brand,high,,Not ranked,,False,242,,2026-06-26T15:24:05.699836
picture frame,core - brand,high,,Not ranked,,False,229,,2026-06-26T15:24:18.582000
photo frames,core - brand,high,,Not ranked,,False,225,,2026-06-26T15:24:28.673360
photo frame,core - brand,high,,Not ranked,,False,227,,2026-06-26T15:24:40.970043
wall frames,core - brand,high,,Not ranked,,False,200,,2026-06-26T15:24:47.910963
americanflat frames,core - brand,high,1,#1 🏆 Top 3,https://americanflat.com/collections/picture-frames?srsltid=AfmBOoqaOCI0WmpQMpCboiZ3W_U16eYXiJcQEZip3_qMXB58gTZYTDJE,False,183,,2026-06-26T15:24:53.574883
americanflat picture frames,core - brand,high,1,#1 🏆 Top 3,https://americanflat.com/collections/picture-frames?srsltid=AfmBOopGZHLa1pvpGQZ-0xeKZhAdwu96naaZ_1ZUOfjXHpGHMUrdWZgQ,False,179,,2026-06-26T15:25:08.226995
buy picture frames online,core - brand,high,,Not ranked,,False,200,,2026-06-26T15:25:16.354535
cheap picture frames,core - brand,high,,Not ranked,,False,227,,2026-06-26T15:25:43.844177
gallery wall frames,core - brand,high,3,#3 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOor6lO117onOjdn95ntHDCJ2BTj539rb1sfPA3VsTMQu7oqhpSg2,False,197,,2026-06-26T15:26:12.375028
gallery wall frame set,core - brand,high,2,#2 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorguYljYsd3Pf4PIKM9UiDBUgB5JqWlgVl6VVfYMTBGZ7ZqDr08,False,204,,2026-06-26T15:26:27.725008
bulk picture frames,core - brand,high,,Not ranked,,False,186,,2026-06-26T15:26:34.956742
picture frames bulk,core - brand,high,,Not ranked,,False,197,,2026-06-26T15:26:44.213099
frames for wall decor,core - brand,high,,Not ranked,,False,198,,2026-06-26T15:27:07.859859
wall frame set,core - brand,high,3,#3 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOoqJMmesxIac6Yl9YsQnkRFpMbk-Xhsp3yb_hnoAVxuDwOSIG-OJ,False,208,,2026-06-26T15:27:15.417085
collage picture frames,core - brand,high,,Not ranked,,False,204,,2026-06-26T15:27:23.513617
4x6 picture frame,size - standard,high,1,#1 🏆 Top 3,https://americanflat.com/collections/4-x-6-picture-frames?srsltid=AfmBOorJNgbpn8c8YziTKyAB-ovYZ-qvdh-SF-9j62dHpnTDLfpOXb6s,False,230,,2026-06-26T15:27:51.511677
5x7 picture frame,size - standard,high,,Not ranked,,False,223,,2026-06-26T15:28:03.805735
8x10 picture frame,size - standard,high,,Not ranked,,False,213,,2026-06-26T15:28:10.971620
11x14 picture frame,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOor5po1jufvS9ux0aSZjMrNVRsCz8tpyT0KC3_IaYq-bYdXxUkQl,False,211,,2026-06-26T15:28:25.236394
16x20 picture frame,size - standard,high,3,#3 🏆 Top 3,https://americanflat.com/collections/16x20-picture-frames?srsltid=AfmBOoqU6bj6tLIpCobVvkTwXVLuURRrk9vgqVGMxZbdsJAlw2vnq1jp,False,240,,2026-06-26T15:28:35.743414
18x24 picture frame,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/18x24-frames?srsltid=AfmBOoreGQqtdUPr6_BBaN6DkgFvOJe0Y4ufkPYhsRtMeO5oZNlCqPzR,False,244,,2026-06-26T15:28:41.700783
24x36 picture frame,size - standard,high,,Not ranked,,False,243,,2026-06-26T15:28:48.674926
4x6 photo frame,size - standard,high,,Not ranked,,False,226,,2026-06-26T15:28:56.943456
8x10 photo frame,size - standard,high,,Not ranked,,False,211,,2026-06-26T15:29:19.264118
11x14 photo frame,size - standard,high,1,#1 🏆 Top 3,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOor-_prawPfkqm5OJ8VBW9TG-IUenSjsuDNPyOG1tqa8Yp7QRv3Q,False,233,,2026-06-26T15:29:29.584448
16x20 photo frame,size - standard,high,,Not ranked,,False,252,,2026-06-26T15:29:38.095004
18x24 photo frame,size - standard,high,1,#1 🏆 Top 3,https://americanflat.com/collections/18x24-frames?srsltid=AfmBOoq8gRIYDz770fgNO6u-W2tov7gQIFQ5zYWxFaD5fz3UE2npDYGP,False,227,,2026-06-26T15:29:45.662986
24x36 photo frame,size - standard,high,,Not ranked,,False,252,,2026-06-26T15:29:57.800990
12x12 picture frame,size - square/medium,high,,Not ranked,,False,251,,2026-06-26T15:30:26.526688
12x16 picture frame,size - large,high,,Not ranked,,False,229,,2026-06-26T15:30:37.286075
12x18 picture frame,size - large,high,2,#2 🏆 Top 3,https://americanflat.com/collections/12x18-frames?srsltid=AfmBOorqsdPfHWHXk8g7tFIw8zo28dXwMC9Zltkl75Vq4PYUwaM8sebA,False,239,,2026-06-26T15:30:42.734241
14x18 picture frame,size - large,high,8,#8 ✅ Page 1,https://americanflat.com/collections/14x18-frames?srsltid=AfmBOoo8338mB5Gtfs5fI2NlCHA7edcLhNiydDvC6IR7KSn8sYcKIaJR,False,233,,2026-06-26T15:30:51.553850
20x24 picture frame,size - large,high,,Not ranked,,False,238,,2026-06-26T15:31:21.077041
20x30 picture frame,size - large,high,,Not ranked,,False,233,,2026-06-26T15:31:31.059201
24x36 poster frame,size - extra large,high,,Not ranked,,False,263,,2026-06-26T15:32:17.952330
black picture frame,color/style,high,,Not ranked,,False,209,,2026-06-26T15:32:25.084889
white picture frame,color/style,high,,Not ranked,,False,202,,2026-06-26T15:32:40.954317
silver picture frame,color/style,high,9,#9 ✅ Page 1,https://americanflat.com/collections/silver-picture-frames?srsltid=AfmBOopokXiDu7o9AQQeV6WrUJgAfb-K-HWQYZ17CUBtnBaJp-4qvJwJ,False,198,,2026-06-26T15:33:04.000049
black photo frame,color/style,high,,Not ranked,,False,204,,2026-06-26T15:33:19.294272
white photo frame,color/style,high,,Not ranked,,False,201,,2026-06-26T15:33:25.706954
gold photo frame,color/style,high,,Not ranked,,False,214,,2026-06-26T15:33:35.596644
black wall frame,color/style,high,,Not ranked,,False,214,,2026-06-26T15:33:42.387244
white wall frame,color/style,high,,Not ranked,,False,194,,2026-06-26T15:33:48.453856
acrylic picture frame,material,high,,Not ranked,,False,201,,2026-06-26T15:34:29.379402
gallery wall kit,gallery wall,high,4,#4 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOoox5nR13mJcM_DDBNE9lSvl2OTOGc7LIEM9lGC7MpHjLwxkA22A,False,209,,2026-06-26T15:34:36.555911
gallery wall ideas,gallery wall,high,,Not ranked,,False,183,,2026-06-26T15:34:43.625882
gallery wall frames set,gallery wall,high,3,#3 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorF33ztVNGcJ8XmknuVqEmZviy5Y6m0CPEgfM_ddi0E_SIUlosc,False,207,,2026-06-26T15:34:57.097684
create gallery wall,gallery wall,high,,Not ranked,,False,164,,2026-06-26T15:35:07.045952
gallery wall layout,gallery wall,high,,Not ranked,,False,177,,2026-06-26T15:35:12.158010
gallery wall template,gallery wall,high,,Not ranked,,False,192,,2026-06-26T15:35:19.019359
picture frame wall collage,gallery wall,high,,Not ranked,,False,203,,2026-06-26T15:35:29.528182
how to create gallery wall,gallery wall,high,,Not ranked,,False,197,,2026-06-26T15:35:36.118124
gallery wall frame sizes,gallery wall,high,5,#5 ✅ Page 1,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOorlxpCzJmxhSY72Zvb8C3ffBNJ9FigGpt7zojBpMKxV3wJJqAI-,False,186,,2026-06-26T15:35:49.884835
gallery wall black frames,gallery wall,high,,Not ranked,,False,209,,2026-06-26T15:35:58.564361
gallery wall white frames,gallery wall,high,2,#2 🏆 Top 3,https://americanflat.com/collections/gallery-wall-frame-set?srsltid=AfmBOoq9UzRWsMgjFu2b-085QBZPdGQc-455cdBpaIhjhOOTfFKbKzxk,False,195,,2026-06-26T15:36:11.909525
gallery wall mixed frames,gallery wall,high,,Not ranked,,False,204,,2026-06-26T15:36:23.304802
picture frame set of 3,multi-pack/sets,high,,Not ranked,,False,287,,2026-06-26T15:36:31.818111
picture frame set of 4,multi-pack/sets,high,,Not ranked,,False,204,,2026-06-26T15:36:43.153916
picture frame set of 5,multi-pack/sets,high,,Not ranked,,False,261,,2026-06-26T15:36:58.350071
picture frame multipack,multi-pack/sets,high,,Not ranked,,False,224,,2026-06-26T15:37:22.653029
picture frames 3 pack,multi-pack/sets,high,,Not ranked,,False,223,,2026-06-26T15:37:30.845253
picture frames 4 pack,multi-pack/sets,high,,Not ranked,,False,213,,2026-06-26T15:37:37.153772
picture frames 5 pack,multi-pack/sets,high,,Not ranked,,False,238,,2026-06-26T15:37:46.214461
picture frames 6 pack,multi-pack/sets,high,,Not ranked,,False,217,,2026-06-26T15:37:52.583822
picture frames bulk pack,multi-pack/sets,high,,Not ranked,,False,187,,2026-06-26T15:38:07.499983
poster frame,poster frames,high,,Not ranked,,False,271,,2026-06-26T15:38:15.586474
poster frames,poster frames,high,,Not ranked,,False,253,,2026-06-26T15:38:23.979264
movie poster frame,poster frames,high,,Not ranked,,False,191,,2026-06-26T15:38:36.620341
large poster frame,poster frames,high,,Not ranked,,False,191,,2026-06-26T15:38:41.021613
24x36 poster frame black,poster frames,high,,Not ranked,,False,268,,2026-06-26T15:38:46.804379
27x40 movie poster frame,poster frames,high,,Not ranked,,False,219,,2026-06-26T15:38:57.973951
one sheet movie poster frame,poster frames,high,,Not ranked,,False,191,,2026-06-26T15:39:04.951583
diploma frame,specialty frames,high,,Not ranked,,False,198,,2026-06-26T15:39:11.529912
certificate frame,specialty frames,high,,Not ranked,,False,197,,2026-06-26T15:39:21.484598
document frame,specialty frames,high,,Not ranked,,False,221,,2026-06-26T15:39:33.046339
diploma frame 8.5x11,specialty frames,high,,Not ranked,,False,589000,,2026-06-26T15:39:40.140839
diploma frame 11x14,specialty frames,high,7,#7 ✅ Page 1,https://americanflat.com/collections/diploma-frames?srsltid=AfmBOorjukKR75i-_kDBP2ULnMHvlW4_q8UuFyW-VnKBuX9mc-T5yOjj,False,197,,2026-06-26T15:39:50.474120
certificate frame 8.5x11,specialty frames,high,,Not ranked,,False,577000,,2026-06-26T15:40:01.244906
certificate frame 11x14,specialty frames,high,,Not ranked,,False,205,,2026-06-26T15:40:08.310246
floating frame,specialty frames,high,,Not ranked,,False,205,,2026-06-26T15:40:15.799600
floating picture frame,specialty frames,high,,Not ranked,,False,191,,2026-06-26T15:40:24.301849
floating photo frame,specialty frames,high,,Not ranked,,False,215,,2026-06-26T15:40:30.463626
float frame,specialty frames,high,,Not ranked,,False,189,,2026-06-26T15:40:36.465710
4x6 set of 3 picture frames,long tail - sets,high,,Not ranked,,False,219,,2026-06-26T15:40:41.391286
5x7 set of 4 picture frames,long tail - sets,high,,Not ranked,,False,205,,2026-06-26T15:40:54.373689
8x10 set of 3 picture frames,long tail - sets,high,,Not ranked,,False,228,,2026-06-26T15:41:03.004712
4x6 and 5x7 frame set,long tail - sets,high,,Not ranked,,False,258,,2026-06-26T15:41:19.185609
4x6 5x7 8x10 frame set,long tail - sets,high,,Not ranked,,False,188,,2026-06-26T15:41:24.951406
8x10 black picture frame set,long tail - sets,high,,Not ranked,,False,217,,2026-06-26T15:41:34.259211
8x10 white picture frame set,long tail - sets,high,,Not ranked,,False,248,,2026-06-26T15:41:45.356070
5x7 black picture frame set,long tail - sets,high,2,#2 🏆 Top 3,https://americanflat.com/collections/5-x-7-picture-frames?srsltid=AfmBOorkQQsfmcxMUxq3-SFdfNps8rvEcwHNOBnTQq-DGROhYPWTddqx,False,238,,2026-06-26T15:41:51.700668
5x7 white picture frame set,long tail - sets,high,,Not ranked,,False,224,,2026-06-26T15:41:59.010905
picture frames for bedroom wall,long tail - room/use,high,,Not ranked,,False,218,,2026-06-26T15:42:58.994607
large picture frames for wall,long tail - room/use,high,,Not ranked,,False,220,,2026-06-26T15:43:04.719791
oversized picture frames,long tail - room/use,high,,Not ranked,,False,197,,2026-06-26T15:43:20.582941
big picture frames for wall,long tail - room/use,high,,Not ranked,,False,236,,2026-06-26T15:43:28.643516
modern picture frames,long tail - style/decor,high,,Not ranked,,False,200,,2026-06-26T15:43:36.266198
picture frames with mat,features,high,,Not ranked,,False,194,,2026-06-26T15:44:01.147026
picture frame with matting,features,high,,Not ranked,,False,191,,2026-06-26T15:44:31.260838
picture frame mat board,features,high,,Not ranked,,False,198,,2026-06-26T15:44:41.414212
picture frames with glass,features,high,,Not ranked,,False,208,,2026-06-26T15:44:51.714082
picture frames without glass,features,high,,Not ranked,,False,229,,2026-06-26T15:44:57.323013
hanging picture frame,features,high,,Not ranked,,False,219,,2026-06-26T15:45:03.492538
wall mount picture frame,features,high,,Not ranked,,False,218,,2026-06-26T15:45:09.361955
picture frame art prints,use case - art,high,,Not ranked,,False,211,,2026-06-26T15:45:16.699651
art print frames,use case - art,high,,Not ranked,,False,205,,2026-06-26T15:45:23.615962
kids artwork frame,use case - family/kids,high,3,#3 🏆 Top 3,https://americanflat.com/collections/kids-art-frames?srsltid=AfmBOor8gRloxe79cgxBICmYkQuFqZGvj_VY98vXcGo__mac7gDHGR84,False,248,,2026-06-26T15:45:29.878772
children's art frame,use case - family/kids,high,2,#2 🏆 Top 3,https://americanflat.com/collections/kids-art-frames?srsltid=AfmBOoreNlVZYjmSv9tgCCsW55VyTGQpzv95oIqXH1Hr2gvaohOvTOem,False,246,,2026-06-26T15:45:36.193045
kids drawing frame,use case - family/kids,high,3,#3 🏆 Top 3,https://americanflat.com/collections/kids-art-frames?srsltid=AfmBOoqcjhO7jb27EYOX8mQfAXOXj8WfwQWtTCJF0UzNk5uyyHKqi3u5,False,240,,2026-06-26T15:45:43.577406
baby photo frame,use case - family/kids,high,,Not ranked,,False,225,,2026-06-26T15:45:53.688438
newborn photo frame,use case - family/kids,high,,Not ranked,,False,245,,2026-06-26T15:46:00.116325
family photo frame,use case - family/kids,high,,Not ranked,,False,203,,2026-06-26T15:46:14.095954
family picture frame set,use case - family/kids,high,,Not ranked,,False,239,,2026-06-26T15:46:21.876402
wedding picture frame,use case - occasions,high,,Not ranked,,False,196,,2026-06-26T15:46:28.362647
wedding photo frame,use case - occasions,high,,Not ranked,,False,186,,2026-06-26T15:46:36.995472
picture frame gift set,use case - gifting,high,,Not ranked,,False,195,,2026-06-26T15:46:59.847308
where to buy picture frames,buying intent,high,,Not ranked,,False,175,,2026-06-26T15:47:05.827501
picture frames amazon,buying intent,high,,Not ranked,,False,191,,2026-06-26T15:47:11.966449
picture frames walmart,buying intent,high,,Not ranked,,False,202,,2026-06-26T15:47:19.000538
picture frames target,buying intent,high,,Not ranked,,False,180,,2026-06-26T15:47:35.705828
picture frames wayfair,buying intent,high,,Not ranked,,False,164,,2026-06-26T15:47:47.697492
best picture frames,buying intent,high,,Not ranked,,False,181,,2026-06-26T15:47:57.936463
top rated picture frames,buying intent,high,,Not ranked,,False,180,,2026-06-26T15:48:07.038802
standard photo frame sizes,educational,high,,Not ranked,,False,174,,2026-06-26T15:48:11.985249
standard picture frame sizes,educational,high,,Not ranked,,False,177,,2026-06-26T15:48:19.527823
what size frame for 8x10 print,educational,high,,Not ranked,,False,127,,2026-06-26T15:48:28.101337
what size frame for 11x14 print,educational,high,,Not ranked,,False,136,,2026-06-26T15:48:33.010719
4x6 frame,size - standard,high,1,#1 🏆 Top 3,https://americanflat.com/collections/4-x-6-picture-frames?srsltid=AfmBOooot-b8BXzMjk48VFxDdrViw8tLtiWanVRjQ9vJ3ggMX1ODHqWU,False,227,,2026-06-26T15:48:40.936563
5x7 frame,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/5-x-7-picture-frames?srsltid=AfmBOorfmdDwZriFdZQZunsgE56Xar2f0bFOS4vrUaXe70edO9NFr-yJ,False,208,,2026-06-26T15:48:47.952496
8x10 frame,size - standard,high,,Not ranked,,False,229,,2026-06-26T15:48:57.513806
11x14 frame,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOorO-dtQMte-xRKQwCd-9JHa0MhAzwj9N_JgaUDjXkhgXqnISF2V,False,233,,2026-06-26T15:49:03.813736
16x20 frame,size - standard,high,,Not ranked,,False,243,,2026-06-26T15:49:11.964066
18x24 frame,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/18x24-frames?srsltid=AfmBOoo4CkxrDcP0zVzLwpNY7T9bfJdliI3hshDe274T1QlO2O-bHZAz,False,253,,2026-06-26T15:49:19.208685
24x36 frame,size - standard,high,,Not ranked,,False,256,,2026-06-26T15:49:25.111408
4x6 picture frame black,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/4-x-6-picture-frames?srsltid=AfmBOoq4fzk1rbTATEk6_2PXkGH0xO79FFNdm3y89nhXgrAdjI0c50jg,False,239,,2026-06-26T15:49:40.319132
4x6 picture frame white,size - standard,high,,Not ranked,,False,239,,2026-06-26T15:49:46.677449
4x6 picture frame gold,size - standard,high,,Not ranked,,False,206,,2026-06-26T15:49:52.513297
5x7 picture frame black,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/5-x-7-picture-frames?srsltid=AfmBOorst9XWKj93GlIv9ZxK1VVOxsikn96F0oMxh9P9xTeW7YXwdbdT,False,196,,2026-06-26T15:50:03.647320
5x7 picture frame white,size - standard,high,,Not ranked,,False,172,,2026-06-26T15:50:14.572871
5x7 picture frame gold,size - standard,high,,Not ranked,,False,226,,2026-06-26T15:50:24.861183
8x10 picture frame black,size - standard,high,,Not ranked,,False,231,,2026-06-26T15:50:32.838102
8x10 picture frame gold,size - standard,high,,Not ranked,,False,249,,2026-06-26T15:50:58.949608
11x14 picture frame black,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOooVIkhCzpXl5ruJ90j7k0UYwjObSwaIjreIIr8rpfdK18F8ThUR,False,196,,2026-06-26T15:51:05.629736
11x14 picture frame white,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOory9TFSXio_DdxupWOkZ1aqxue7Yv_DvjzaJzDQnGCKRsP4234r,False,180,,2026-06-26T15:51:11.456367
11x14 picture frame gold,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/11x14-frames?srsltid=AfmBOoriQnHnIsYOkzKMlvFtebQ5A6eorPRIlPPv_o97AhQ1yifFw_XI,False,230,,2026-06-26T15:51:20.767463
16x20 picture frame black,size - standard,high,,Not ranked,,False,242,,2026-06-26T15:51:30.378460
16x20 picture frame white,size - standard,high,2,#2 🏆 Top 3,https://americanflat.com/collections/16x20-picture-frames?srsltid=AfmBOopwae2BViOsMjEc8vPreFAqHd9AUARlqQkkJs3HQ8rlZRJIg_PM,False,197,,2026-06-26T15:51:35.933443
16x20 picture frame gold,size - standard,high,,Not ranked,,False,200,,2026-06-26T15:51:41.024587
2x2 picture frame,size - small,medium,,Not ranked,,False,247,,2026-06-26T15:52:03.901637
2x3 picture frame,size - small,medium,,Not ranked,,False,247,,2026-06-26T15:52:09.183675
3x3 picture frame,size - small,medium,,Not ranked,,False,242,,2026-06-26T15:52:15.046300
3x5 picture frame,size - small,medium,,Not ranked,,False,252,,2026-06-26T15:52:23.981813
4x4 picture frame,size - small,medium,,Not ranked,,False,241,,2026-06-26T15:52:37.864617
4x5 picture frame,size - small,medium,,Not ranked,,False,248,,2026-06-26T15:52:51.178865
4x12 picture frame,size - small,medium,,Not ranked,,False,234,,2026-06-26T15:53:01.054079
5x5 picture frame,size - small,medium,,Not ranked,,False,224,,2026-06-26T15:53:08.090199
5x15 picture frame,size - small,medium,,Not ranked,,False,231,,2026-06-26T15:53:13.858914
6x6 picture frame,size - small,medium,,Not ranked,,False,247,,2026-06-26T15:53:20.378273
6x8 picture frame,size - small,medium,,Not ranked,,False,253,,2026-06-26T15:53:26.627089
6x9 picture frame,size - small,medium,,Not ranked,,False,248,,2026-06-26T15:53:33.871293
3x4 picture frame,size - small,medium,,Not ranked,,False,244,,2026-06-26T15:53:42.806026
wallet size picture frame,size - small,medium,,Not ranked,,False,250,,2026-06-26T15:53:49.197312
8x8 picture frame,size - square/medium,medium,2,#2 🏆 Top 3,https://americanflat.com/collections/8x8-frames?srsltid=AfmBOoop63QweTU4QXQb-wH6TntrkVevy5WMc-g27WuwI1Q-ODZPseaR,False,231,,2026-06-26T15:53:54.621482
9x9 picture frame,size - square/medium,medium,,Not ranked,,False,240,,2026-06-26T15:54:07.418158
6x6 photo frame,size - square/medium,medium,,Not ranked,,False,237,,2026-06-26T15:54:14.032241
10x12 picture frame,size - square/medium,medium,,Not ranked,,False,251,,2026-06-26T15:54:22.837608
9x12 picture frame,size - square/medium,medium,2,#2 🏆 Top 3,https://americanflat.com/collections/9x12-frames?srsltid=AfmBOorxvnMUGyJ4Hd93h2SaMOohpZj3PZmdcewQHev4SLAzjkHPdJK3,False,234,,2026-06-26T15:54:28.185291
10x13 picture frame,size - square/medium,medium,,Not ranked,,False,246,,2026-06-26T15:54:38.266782
8x12 picture frame,size - square/medium,medium,,Not ranked,,False,226,,2026-06-26T15:54:44.200373
9x11 picture frame,size - square/medium,medium,2,#2 🏆 Top 3,https://americanflat.com/collections/9x11-frames?srsltid=AfmBOoohucqqMMdOpCuoLWVJ9ggN4QepWlCmSidt_i56-lby3M2FX-Zp,False,256,,2026-06-26T15:54:52.031497
22x28 picture frame,size - large,medium,6,#6 ✅ Page 1,https://americanflat.com/collections/22x28-frames?srsltid=AfmBOoq3CRvVN2_hLvNNRfu559plLx_dnN6ZfDntcYx1y5YW8VUcVeOR,False,230,,2026-06-26T15:54:57.370340
24x24 picture frame,size - large,medium,2,#2 🏆 Top 3,https://americanflat.com/collections/24x24-frames?srsltid=AfmBOoq_JrOZgqU3elE5WpjSS0-tOCxT16KO6ZnF_9uHO4m0NimFiAwJ,False,217,,2026-06-26T15:55:04.719104
24x30 picture frame,size - large,medium,,Not ranked,,False,254,,2026-06-26T15:55:10.126864
24x32 picture frame,size - large,medium,,Not ranked,,False,240,,2026-06-26T15:55:15.340471
16x16 picture frame,size - large,medium,4,#4 ✅ Page 1,https://americanflat.com/collections/16x16-frames?srsltid=AfmBOopKHc8b0KXsZvyUzsaQNZ0sX9xLM6dk2FmIms8YHLeniN2mHbmP,False,225,,2026-06-26T15:55:20.963794
18x18 picture frame,size - large,medium,,Not ranked,,False,221,,2026-06-26T15:55:26.794777
18x20 picture frame,size - large,medium,,Not ranked,,False,243,,2026-06-26T15:55:32.309287
20x20 picture frame,size - large,medium,4,#4 ✅ Page 1,https://americanflat.com/products/americanflat-20x20-picture-frame-with-mat-set-of-3-black-slim-molding?srsltid=AfmBOoqEVB1zNSgwsWisdYy4oK-flkbktJdfLC0zfBZf6wpssOXy0vEn,False,237,,2026-06-26T15:55:38.587354
14x14 picture frame,size - large,medium,,Not ranked,,False,259,,2026-06-26T15:55:44.869772
14x17 picture frame,size - large,medium,,Not ranked,,False,199,,2026-06-26T15:55:52.571330
36x48 picture frame,size - extra large,medium,,Not ranked,,False,235,,2026-06-26T15:55:58.330954
40x40 picture frame,size - extra large,medium,,Not ranked,,False,251,,2026-06-26T15:56:05.386163
28x40 picture frame,size - extra large,medium,,Not ranked,,False,231,,2026-06-26T15:56:12.172955
